index,Cycle,Voltage_measured,Current_measured,Temperature_measured,Voltage_load,Time,Current_load,Capacity
0,1,3.8216842954418633,-2.0108365825122116,27.163718920659072,2.923,344.75,-1.999,2.035337591005598
1,1,3.7409301353784294,-2.010389509032384,29.439180779054592,2.845,690.812,-1.999,2.035337591005598
2,1,3.6712806012317927,-2.007767883865744,30.27069767602522,2.776,1038.594,-1.999,2.035337591005598
3,1,3.6106326621060343,-2.0121358428332523,31.267577867521094,2.715,1388.125,-1.9992,2.035337591005598
4,1,3.5571556811179046,-2.0093854109851046,32.223632531229654,2.661,1740.437,-1.9992,2.035337591005598
5,1,3.5125828242416985,-2.0100297207850306,33.078142349385985,2.616,2096.312,-1.9992,2.035337591005598
6,1,3.4787223457044196,-2.008316883411313,33.870976253592715,2.582,2455.969,-1.9992,2.035337591005598
7,1,3.442553314535504,-2.011450727749647,34.86714993518805,2.546,2820.625,-1.9992,2.035337591005598
8,1,3.3824229409071247,-2.0121234839631006,36.15307918188622,2.487,3189.734,-1.9992,2.035337591005598
9,1,3.079310270136364,-2.009309566616169,38.095645602380785,2.199,3568.062,-1.9992,2.035337591005598
10,2,3.8274481273917864,-2.011239424146499,27.42199274729709,2.931,344.594,-1.999,2.0251402460314116
11,2,3.7447570676772344,-2.0122100957812195,29.6189976653393,2.849,690.547,-1.999,2.0251402460314116
12,2,3.675016420800077,-2.010497143639002,30.43749268882316,2.78,1038.703,-1.999,2.0251402460314116
13,2,3.6141248752888835,-2.011942622735566,31.42108667844133,2.719,1388.141,-1.9992,2.0251402460314116
14,2,3.5607076906175097,-2.0149020169266376,32.3566587224993,2.665,1741.016,-1.9992,2.0251402460314116
15,2,3.5165747062471913,-2.0093003040463584,33.19385168013875,2.622,2096.641,-1.999,2.0251402460314116
16,2,3.483883687825661,-2.0122106218289204,34.03795889246091,2.588,2457.172,-1.999,2.0251402460314116
17,2,3.4478485233623872,-2.0100518592786663,35.03488116013252,2.552,2821.641,-1.9992,2.0251402460314116
18,2,3.3871106054658466,-2.012261629186262,36.36189347441632,2.493,3191.25,-1.999,2.0251402460314116
19,2,3.030686179551236,-2.0092198781653923,38.27220816224624,2.156,3570.453,-1.9992,2.0251402460314116
20,3,3.8305746192804775,-2.010986936641071,27.455157679958905,2.935,344.562,-1.999,2.013326371345464
21,3,3.7467610899071855,-2.011048548416625,29.615838784573658,2.853,690.562,-1.999,2.013326371345464
22,3,3.676517607661112,-2.0114494744612728,30.406431178688212,2.783,1038.875,-1.999,2.013326371345464
23,3,3.6154334168645264,-2.0080726413965047,31.39870781107507,2.721,1388.703,-1.999,2.013326371345464
24,3,3.5616190683210953,-2.009160509055299,32.32327589559623,2.667,1741.469,-1.999,2.013326371345464
25,3,3.5178513960213986,-2.010314906081498,33.15374285575203,2.624,2097.359,-1.999,2.013326371345464
26,3,3.4847392351096826,-2.009804509101005,33.99427769369945,2.59,2457.422,-1.999,2.013326371345464
27,3,3.448740947798807,-2.0106071283421554,35.0075609718985,2.554,2821.719,-1.999,2.013326371345464
28,3,3.3869225138259567,-2.0100362344816958,36.327426319488445,2.494,3191.734,-1.999,2.013326371345464
29,3,3.0045515408166383,-2.010634745309092,38.280010000566044,2.133,3570.25,-1.999,2.013326371345464
30,4,3.8314528355319615,-2.0085108559396385,27.384067911588225,2.935,344.86,-1.999,2.0132846655407413
31,4,3.7474219933684423,-2.010383889267971,29.527149360477182,2.854,690.391,-1.999,2.0132846655407413
32,4,3.677088201565223,-2.011632919290259,30.330677655783067,2.783,1038.532,-1.999,2.0132846655407413
33,4,3.6153645762013262,-2.010498935180911,31.33298330891801,2.722,1388.375,-1.999,2.0132846655407413
34,4,3.5613407505486,-2.011852445441401,32.257216104283756,2.667,1741.453,-1.999,2.0132846655407413
35,4,3.517349107294267,-2.012088538761579,33.0912588334878,2.624,2097.86,-1.999,2.0132846655407413
36,4,3.4844624855222257,-2.011756389507471,33.92960967705678,2.59,2457.703,-1.999,2.0132846655407413
37,4,3.4479132962250043,-2.007544609364386,34.97631511383108,2.554,2822.438,-1.999,2.0132846655407413
38,4,3.383818217802301,-2.0126584639210794,36.30290319142694,2.491,3191.703,-1.999,2.0132846655407413
39,4,2.9476617357797212,-2.0100330958009947,38.284265489475075,2.083,3570.532,-1.999,2.0132846655407413
40,5,3.8317505973317294,-2.012917662612496,27.326629657307652,2.936,344.547,-1.999,2.000528337624771
41,5,3.747113069694571,-2.0096958321848404,29.450963272756013,2.853,690.484,-1.999,2.000528337624771
42,5,3.6760979633373823,-2.01216789029052,30.241025017654877,2.783,1038.625,-1.999,2.000528337624771
43,5,3.6146165798947245,-2.009344004545358,31.226767534127536,2.721,1388.094,-1.999,2.000528337624771
44,5,3.5603535413091887,-2.0118175378328496,32.153306634497234,2.667,1740.375,-1.9992,2.000528337624771
45,5,3.5165316065394934,-2.0102520054858077,32.998011494945665,2.622,2096.906,-1.9992,2.000528337624771
46,5,3.483858323282796,-2.012009172956673,33.831082716137516,2.59,2456.797,-1.9992,2.000528337624771
